Variable,Unit,Definition
Emissions|N2O|Energy|Demand|Transportation|Shipping|International,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Shipping|International|Loading,kt N2O/yr,
Emissions|N2O|Energy|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Other,kt N2O/yr,
Emissions|N2O|Energy|Supply,kt N2O/yr,
Emissions|N2O|Energy|Supply|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Electricity,kt N2O/yr,
Emissions|N2O|Energy|Supply|Electricity and Heat,kt N2O/yr,
Emissions|N2O|Energy|Supply|Fuel Production and Transformation,kt N2O/yr,
Emissions|N2O|Energy|Supply|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases and Liquids Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Biomass,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Biomass|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Biomass|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Coal,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Coal|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Coal|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Extraction,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Extraction|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Extraction|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Hydrogen,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Hydrogen|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Hydrogen|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Natural Gas,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Natural Gas|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Natural Gas|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Transportation,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Transportation|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Gases|Transportation|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Heat,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Biomass,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Biomass|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Biomass|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Coal,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Coal|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Coal|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Extraction,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Extraction|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Extraction|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Natural Gas,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Natural Gas|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Natural Gas|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Oil,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Oil|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Oil|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Transportation,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Transportation|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Liquids|Transportation|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Other,kt N2O/yr,
Emissions|N2O|Energy|Supply|Other|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Other|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids and Other Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Biomass,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Biomass|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Biomass|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Coal,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Coal|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Coal|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Extraction,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Extraction|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Extraction|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Fugitive,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Transportation,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Transportation|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Supply|Solids|Transportation|Fugitive,kt N2O/yr,
Emissions|N2O|Fossil Fuel Fires,kt N2O/yr,
Emissions|N2O|Fossil Fuels and Industry,kt N2O/yr,
Emissions|N2O|Industrial Processes,kt N2O/yr,
Emissions|N2O|Industrial Processes|Chemicals,kt N2O/yr,
Emissions|N2O|Industrial Processes|Electronics,kt N2O/yr,
Emissions|N2O|Industrial Processes|Iron and Steel,kt N2O/yr,
Emissions|N2O|Industrial Processes|Metals and Minerals,kt N2O/yr,
Emissions|N2O|Industrial Processes|Metals and Minerals,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Ferrous Metals,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Ferrous Metals|Aluminun,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Ferrous Metals|Other,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Metallic Minerals,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Metallic Minerals|Cement,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Metallic Minerals|Lime,kt N2O/yr,
Emissions|N2O|Industrial Processes|Non-Metallic Minerals|Other,kt N2O/yr,
Emissions|N2O|Industrial Processes|Other Sector,kt N2O/yr,
Emissions|N2O|Industrial Processes|Pulp and Paper and Food and Beverage and Wood,kt N2O/yr,
Emissions|N2O|Natural,kt N2O/yr,
Emissions|N2O|Natural|Other,kt N2O/yr,
Emissions|N2O|Natural|Volcanoes,kt N2O/yr,
Emissions|N2O|Other,kt N2O/yr,
Emissions|N2O|Product Use,kt N2O/yr,
Emissions|N2O|Product Use|Non-Energy Use,kt N2O/yr,
Emissions|N2O|Product Use|ODS Substitutes,kt N2O/yr,
Emissions|N2O|Product Use|Solvents,kt N2O/yr,
Emissions|N2O|Product Use|Solvents|Chemical Products,kt N2O/yr,
Emissions|N2O|Product Use|Solvents|Degreasing,kt N2O/yr,
Emissions|N2O|Product Use|Solvents|Other,kt N2O/yr,
Emissions|N2O|Product Use|Solvents|Paint,kt N2O/yr,
Emissions|N2O|Waste,kt N2O/yr,
Emissions|N2O|Waste|Biological Treatment,kt N2O/yr,
Emissions|N2O|Waste|Incineration,kt N2O/yr,
Emissions|N2O|Waste|Other,kt N2O/yr,
Emissions|N2O|Waste|Solid Waste Disposal,kt N2O/yr,
Emissions|N2O|Waste|Wastewater Treatment,kt N2O/yr,
Emissions|NH3,Mt NH3/yr,
Emissions|NH3|AFOLU,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture and Biomass Burning,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture|Livestock,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture|Livestock|Enteric Fermentation,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture|Livestock|Manure Management,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture|Managed Soils,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture|Other,Mt NH3/yr,
Emissions|NH3|AFOLU|Agriculture|Rice,Mt NH3/yr,
Emissions|NH3|AFOLU|Biomass Burning,Mt NH3/yr,
Emissions|NH3|AFOLU|Land,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Cropland,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Forest,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Forest Burning,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Grassland Burning,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Grassland Pastures,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Other,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Other Land,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Settlements,Mt NH3/yr,
Emissions|NH3|AFOLU|Land|Wetlands,Mt NH3/yr,
Emissions|NH3|Energy,Mt NH3/yr,
Emissions|NH3|Energy|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Demand,Mt NH3/yr,
Emissions|NH3|Energy|Demand|AFOFI,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Commercial,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Chemicals,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Construction,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Food and Tobacco,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Iron and Steel,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Machinery,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Mining,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Non-Ferrous Metals,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Non-Metallic Minerals,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Other,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Pulp and Paper,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Textile,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Transport Equipment,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Industry|Wood Products,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Other Sector,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Residential,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Residential and Commercial,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Residential and Commercial and AFOFI,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Aviation,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Aviation|Domestic,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Aviation|International,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Other Sector,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Rail,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Rail and Domestic Shipping,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Road,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Road Rail and Domestic Shipping,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Shipping,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Shipping|Domestic,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Shipping|International,Mt NH3/yr,
Emissions|NH3|Energy|Demand|Transportation|Shipping|International|Loading,Mt NH3/yr,
Emissions|NH3|Energy|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Other,Mt NH3/yr,
Emissions|NH3|Energy|Supply,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Electricity,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Electricity and Heat,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Fuel Production and Transformation,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases and Liquids Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Biomass,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Biomass|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Biomass|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Coal,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Coal|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Coal|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Extraction,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Extraction|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Extraction|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Hydrogen,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Hydrogen|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Hydrogen|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Natural Gas,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Natural Gas|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Natural Gas|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Transportation,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Transportation|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Gases|Transportation|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Heat,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Biomass,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Biomass|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Biomass|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Coal,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Coal|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Coal|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Extraction,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Extraction|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Extraction|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Natural Gas,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Natural Gas|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Natural Gas|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Oil,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Oil|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Oil|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Transportation,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Transportation|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Liquids|Transportation|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Other,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Other|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Other|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids and Other Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Biomass,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Biomass|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Biomass|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Coal,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Coal|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Coal|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Extraction,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Extraction|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Extraction|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Fugitive,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Transportation,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Transportation|Combustion,Mt NH3/yr,
Emissions|NH3|Energy|Supply|Solids|Transportation|Fugitive,Mt NH3/yr,
Emissions|NH3|Fossil Fuel Fires,Mt NH3/yr,
Emissions|NH3|Fossil Fuels and Industry,Mt NH3/yr,
Emissions|NH3|Industrial Processes,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Chemicals,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Electronics,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Iron and Steel,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Metals and Minerals,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Metals and Minerals,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Ferrous Metals,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Ferrous Metals|Aluminun,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Ferrous Metals|Other,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Metallic Minerals,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Metallic Minerals|Cement,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Metallic Minerals|Lime,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Non-Metallic Minerals|Other,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Other Sector,Mt NH3/yr,
Emissions|NH3|Industrial Processes|Pulp and Paper and Food and Beverage and Wood,Mt NH3/yr,
Emissions|NH3|Natural,Mt NH3/yr,
Emissions|NH3|Natural|Other,Mt NH3/yr,
Emissions|NH3|Natural|Volcanoes,Mt NH3/yr,
Emissions|NH3|Other,Mt NH3/yr,
Emissions|NH3|Product Use,Mt NH3/yr,
Emissions|NH3|Product Use|Non-Energy Use,Mt NH3/yr,
Emissions|NH3|Product Use|ODS Substitutes,Mt NH3/yr,
Emissions|NH3|Product Use|Solvents,Mt NH3/yr,
Emissions|NH3|Product Use|Solvents|Chemical Products,Mt NH3/yr,
Emissions|NH3|Product Use|Solvents|Degreasing,Mt NH3/yr,
Emissions|NH3|Product Use|Solvents|Other,Mt NH3/yr,
Emissions|NH3|Product Use|Solvents|Paint,Mt NH3/yr,
Emissions|NH3|Waste,Mt NH3/yr,
Emissions|NH3|Waste|Biological Treatment,Mt NH3/yr,
Emissions|NH3|Waste|Incineration,Mt NH3/yr,
Emissions|NH3|Waste|Other,Mt NH3/yr,
Emissions|NH3|Waste|Solid Waste Disposal,Mt NH3/yr,
Emissions|NH3|Waste|Wastewater Treatment,Mt NH3/yr,
Emissions|NOx,Mt NOx/yr,
Emissions|NOx|AFOLU,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture and Biomass Burning,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture|Livestock,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture|Livestock|Enteric Fermentation,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture|Livestock|Manure Management,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture|Managed Soils,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture|Other,Mt NOx/yr,
Emissions|NOx|AFOLU|Agriculture|Rice,Mt NOx/yr,
Emissions|NOx|AFOLU|Biomass Burning,Mt NOx/yr,
Emissions|NOx|AFOLU|Land,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Cropland,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Forest,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Forest Burning,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Grassland Burning,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Grassland Pastures,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Other,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Other Land,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Settlements,Mt NOx/yr,
Emissions|NOx|AFOLU|Land|Wetlands,Mt NOx/yr,
Emissions|NOx|Energy,Mt NOx/yr,
Emissions|NOx|Energy|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Demand,Mt NOx/yr,
Emissions|NOx|Energy|Demand|AFOFI,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Commercial,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Chemicals,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Construction,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Food and Tobacco,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Iron and Steel,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Machinery,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Mining,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Non-Ferrous Metals,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Non-Metallic Minerals,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Other,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Pulp and Paper,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Textile,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Transport Equipment,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Industry|Wood Products,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Other Sector,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Residential,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Residential and Commercial,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Aviation,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Aviation|Domestic,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Aviation|International,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Other Sector,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Rail,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Rail and Domestic Shipping,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Road,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Road Rail and Domestic Shipping,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Shipping,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Shipping|Domestic,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Shipping|International,Mt NOx/yr,
Emissions|NOx|Energy|Demand|Transportation|Shipping|International|Loading,Mt NOx/yr,
Emissions|NOx|Energy|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Other,Mt NOx/yr,
Emissions|NOx|Energy|Supply,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Electricity,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Electricity and Heat,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Fuel Production and Transformation,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases and Liquids Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Biomass,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Biomass|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Biomass|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Coal,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Coal|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Coal|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Extraction,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Extraction|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Extraction|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Hydrogen,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Hydrogen|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Hydrogen|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Natural Gas,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Natural Gas|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Natural Gas|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Transportation,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Transportation|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Gases|Transportation|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Heat,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Biomass,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Biomass|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Biomass|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Coal,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Coal|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Coal|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Extraction,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Extraction|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Extraction|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Natural Gas,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Natural Gas|Combustion,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Natural Gas|Fugitive,Mt NOx/yr,
Emissions|NOx|Energy|Supply|Liquids|Oil,Mt NOx/yr,
